>>> 
============= RESTART: C:\Users\User\Desktop\Python 39\kinopoisk.py ============
#1 Название:12 стульев | kinopoisk.ru/film/1302976
#2 Название:1921 | kinopoisk.ru/film/1416450
#3 Название:Deobeulpaeti | kinopoisk.ru/film/1395852
#4 Название:King’s Man: Начало | kinopoisk.ru/film/1045056
#5 Название:Tomb Raider: Лара Крофт 2 | kinopoisk.ru/film/1254055
#6 Название:Абсурдный эксперимент | kinopoisk.ru/film/901749
#7 Название:Агент 117: Из Африки с любовью | kinopoisk.ru/film/1323108
#8 Название:Ад Данте | kinopoisk.ru/film/496917
#9 Название:Аданис: священная битва | kinopoisk.ru/film/1330834
#10 Название:Азбука наших отношений | kinopoisk.ru/film/2045013
#11 Название:Аида | kinopoisk.ru/film/4290176
#12 Название:Айнбо. Сердце Амазонии | kinopoisk.ru/film/1113699
#13 Название:Акира | kinopoisk.ru/film/406023
#14 Название:Американская мечта | kinopoisk.ru/film/602963
#15 Название:Американская ночь | kinopoisk.ru/film/1080183
#16 Название:Ангел Азии | kinopoisk.ru/film/1395436
#17 Название:Ангелы смерти | kinopoisk.ru/film/483380
#18 Название:Аннетт | kinopoisk.ru/film/1032894
#19 Название:Антикварное мошенничество | kinopoisk.ru/film/1334315
#20 Название:Антихрист | kinopoisk.ru/film/1342835
#21 Название:Аристократы | kinopoisk.ru/film/1387145
#22 Название:Ария | kinopoisk.ru/film/1392771
#23 Название:Армия мертвецов | kinopoisk.ru/film/428683
#24 Название:Арно Бабаджанян | kinopoisk.ru/film/1338391
#25 Название:Артемида | kinopoisk.ru/film/1059187
#26 Название:Астральная принцесса | kinopoisk.ru/film/876966
#27 Название:Афера Оливера Твиста | kinopoisk.ru/film/1254474
#28 Название:Банковский счет мистера Тода | kinopoisk.ru/film/416271
#29 Название:Бансу | kinopoisk.ru/film/1405915
#30 Название:Банти и Бабли 2 | kinopoisk.ru/film/1280977
#31 Название:Барб и Звезда едут в Виста дель Мар | kinopoisk.ru/film/1256560
